ASN,Name,Country
"215376","MLCLOUD","RU"
"32181","ASN-GIGENET","US"
"210644","AEZA-AS","GB"
"62240","CLOUVIDER Clouvider - Global ASN","GB"
"11878","TZULO","US"
"62744","QUINTEX","US"
"9009","M247","RO"
"44477","STARK-INDUSTRIES","GB"
"206092","SECFIREWALLAS","GB"
"215540","GCS-AS","GB"
"56971","AS56971 AS56971 Cloud","HK"
"14956","ROUTERHOSTING","US"
"62904","AS62904","US"
"46475","LIMESTONENETWORKS","US"
"12062","DECISIONONE","US"
"14534","UNONET-CORP","PR"
"21272","DANONE-GROUP DANONE GROUP network","FR"
"23387","NONE---THIS-IS-A-NEW-ASN-REQUEST","US"
"25350","ASN-NUOVOPIGNONE","IT"
"26333","UNONET","US"
"26457","NONEXISTE-AS","US"
"29178","PHONONET-AS","DE"
"30984","Mainone-AS","NG"
"37282","MAINONE","NG"
"37539","MainOne-","GH"
"41378","KIRINONET","US"
"44187","DEANONE-AS","NL"
"44342","MARUSHKINONET","RU"
"45799","SINONET-TRANSIT-AS-AP Sinonet Technology","PH"
"47132","INNONET-AS","AT"
"47211","KOLPINONET-AS","RU"
"50627","AS-FRW Frosinone Wireless SpA","IT"
"56140","NOCSER-MY ModernOne Data Solutions Sdn. Bhd.","MY"
"58199","ASVATUTINONET","UA"
"60402","DEANONE","NL"
"62607","JUNONET","US"
"63124","IGNITIONONE-ASN","US"
"132448","SOLUTIONONEPTYLTD-AU SolutionOne Pty Ltd","AU"
"137867","TECHNONET-AS-AP Techno Phobia Australia Pty Ltd","AU"
"139509","VNONET-AS-IN Vno Networks Pvt Ltd","IN"
"153446","VNONE-VN VNONE Vietnam Company Limited","VN"
"199005","WNONET-AS ul. Zolnierza Polskiego 171","PL"
"201115","PYLONONE ","GB"
"202975","TEKNONET","IT"
"209834","BRNONET Brnonet.eu","CZ"
"211088","XYNONET-AS Xynonet","DE"
"211421","MOBINONE","IR"
"213312","NONE","KR"
"215750","TENONET","CN"
"265205","UnoNet Telecomunicacoes LTDA","BR"
"265842","NARDANONE PEDRO FEDERICO SALVADOR","AR"
"267835","OSORIO SERGIO ANGELINONETVDU.","AR"
"268713","ButanoNET Telecom","BR"
"269932","HUGO JAVIER ROLON QUINONEZ","PY"
"270565","Tecnonet Servicos Provedor De Internet Ltda","BR"
"273717","TECNONET SINAL DE INTERNET LTDA","BR"
"328406","MainOne-CI-AS","CI"
"395868","FBISD-ASNONE","US"
"396397","CIVANONET-1","US"
